code,name,price,change_pct,pe_ttm,pb,mcap_yi
600317,营口港,2.6,0.0,15.36,1.3,168.3
002959,小熊电器,33.76,-2.71,15.37,1.83,50.82
600012,皖通高速,16.78,-2.21,15.39,2.15,195.59
603993,洛阳钼业,17.37,3.45,15.39,4.49,3032.95
600004,白云机场,8.02,-1.11,15.42,0.98,189.81
600686,金龙汽车,12.3,-2.46,15.43,2.43,88.2
000682,东方电子,11.84,-0.67,15.46,2.58,158.73
000975,山金国际,20.52,1.33,15.49,3.84,517.77
000581,威孚高科,17.49,-2.18,15.54,0.83,138.85
002375,亚厦股份,3.82,-2.8,15.56,0.61,50.84
600587,新华医疗,12.58,-0.63,15.58,0.97,76.32
000792,盐湖股份,30.41,4.75,15.6,3.6,1609.15
601061,中信金属,11.14,0.81,15.62,2.25,545.86
603766,隆鑫通用,12.31,-2.84,15.68,2.93,252.79
000425,徐工机械,8.85,-4.53,15.73,1.66,794.01
600050,中国联通,4.36,-0.46,15.74,0.8,1351.18
000778,新兴铸管,4.0,-1.48,15.74,0.59,155.74
300446,航天智造,15.51,-1.65,15.75,2.17,57.94
601886,江河集团,8.61,-1.26,15.77,1.39,97.55
601788,光大证券,13.94,1.09,15.79,1.03,544.59
001323,慕思股份,18.4,-1.08,15.83,1.92,57.27
002352,顺丰控股,34.33,-1.44,15.84,1.84,1637.55
601878,浙商证券,9.04,-0.77,15.85,1.1,413.47
000957,中通客车,10.23,1.59,15.85,1.88,60.65
600582,天地科技,5.53,-1.25,15.86,0.88,228.86
600531,豫光金铅,11.9,3.3,15.88,2.03,143.9
688425,铁建重工,4.17,-1.65,15.9,1.18,222.41
002673,西部证券,6.22,-2.2,15.91,0.92,278.01
601168,西部矿业,29.54,-0.54,15.92,3.55,703.94
000895,双汇发展,24.17,-0.62,15.92,4.21,837.3
002752,昇兴股份,5.96,-1.32,15.92,1.62,58.14
002267,陕天然气,7.11,-1.25,15.93,1.13,79.07
600420,国药现代,8.54,-1.84,15.94,0.84,114.54
600489,中金黄金,20.64,0.78,15.94,3.05,1000.49
